epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse,val_r2,val_smape,learning_rate,model_key,fold_name,test_group
8,0.0052648690661014,2.765723466873169,3.6053812503814697,0.2286368013120482,22.138540267944336,23.75138282775879,-0.039150091752254,59.787899017333984,0.00015,A,holdout_F03,F03
9,0.0043801933871881,2.538065195083618,3.286820650100708,0.1783566972794565,19.510366439819336,20.9777946472168,0.1893747175282977,56.10758590698242,0.00015,A,holdout_F03,F03
10,0.0045774235624245,2.5675652027130127,3.3593692779541016,0.1769642229129031,19.682537078857425,20.897035598754883,0.1956041179998553,54.60128784179688,7.5e-05,A,holdout_F03,F03
11,0.0037724501711218,2.2928614616394043,3.0510365962982178,0.1753529409431173,19.14405632019043,20.800498962402344,0.2030189758752636,53.641380310058594,7.5e-05,A,holdout_F03,F03
12,0.0035271707562264,2.2295022010803223,2.950340986251831,0.1506310380724686,17.956344604492188,19.278074264526367,0.3154143203526647,52.2443962097168,7.5e-05,A,holdout_F03,F03
1,0.0600236406518645,8.756112098693848,11.573180198669434,0.284165436184313,22.776683807373047,25.11941146850586,0.3089075463484814,69.31011962890625,0.0003,A,holdout_F04,F04
2,0.0201428189351201,5.13597583770752,6.6789140701293945,0.1970874008293893,18.96892738342285,20.901506423950195,0.5215104916360822,56.22868347167969,0.0003,A,holdout_F04,F04
3,0.0127480075977409,4.169661998748779,5.3129658699035645,0.142895415786889,16.10728645324707,17.79106330871582,0.6533262152200228,45.82513427734375,0.0003,A,holdout_F04,F04
4,0.0111580761851684,3.87373685836792,4.97049617767334,0.1492742935873029,16.589101791381836,18.188966751098636,0.6376457984111552,48.4398193359375,0.0003,A,holdout_F04,F04
5,0.0091121350102471,3.5326318740844727,4.49124002456665,0.1532381842044213,16.84558868408203,18.427831649780277,0.6280661313457881,48.52863693237305,0.0003,A,holdout_F04,F04
6,0.0087603259834187,3.397495985031128,4.40351676940918,0.1612008540047023,16.923616409301758,18.89297103881836,0.6090531025248758,44.23750686645508,0.00015,A,holdout_F04,F04
