seq_len,fusion,model,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,late_weight_image
3,early_fusion,random_forest,5.470389312780581,11.506054395522844,0.9594288797963836,15.178764976313806,22.484231805787065,0.921007364398387,
5,numeric_only,extra_trees,5.507943143812709,7.898847240574609,0.9806046710274628,18.775669642857196,25.087958408109998,0.9006959881892989,
3,image_only,random_forest,5.638567506054596,11.584224427515624,0.9588757416368476,15.053431470086261,22.269301085579478,0.9225103551727699,
3,numeric_only,extra_trees,5.649583333333333,8.006485814898236,0.9803551810554407,18.862388724035668,25.175485036611285,0.9009655738943478,
5,image_only,extra_trees,5.6921258862876165,9.632063620265175,0.9711591267835336,25.171216875000017,28.694536187715453,0.8700923966483147,
3,early_fusion,extra_trees,5.936856500000001,10.183758670828658,0.9682180637923241,26.1253947477745,29.844102776602444,0.860829383829332,
3,early_fusion,hist_gradient_boosting,6.034531014889585,11.174340906856871,0.9617344476331392,18.761225647737582,24.42848883793249,0.9067553978394715,
3,image_only,extra_trees,6.108770066666664,10.213978397241485,0.9680291617423287,26.116212284866478,29.690249832400976,0.8622605957441719,
10,numeric_only,random_forest,6.218231569691148,8.92379617714016,0.9743114176084691,19.694340531210027,26.11710785235235,0.8896701448421558,
8,numeric_only,random_forest,6.385190882218142,8.840470990563425,0.9751649700307861,20.126324284011424,26.461772819901995,0.8878738994356156,
5,numeric_only,random_forest,6.3998411302718115,8.456245330736445,0.9777707469997499,20.58486561742341,26.99319862958597,0.8850405035177596,
10,numeric_only,hist_gradient_boosting,6.491643534887349,8.414828580725018,0.9771581433962238,20.062141782284865,26.19398925842422,0.8890196287730753,
3,numeric_only,random_forest,6.511540499950964,8.445470260643011,0.9781419292498604,21.311302245421516,27.73404926012074,0.8798131199577011,
5,early_fusion,hist_gradient_boosting,6.718956268147193,12.787354528971521,0.9491687098397025,16.35361541940631,21.80974832847878,0.9249522873266042,
3,image_only,hist_gradient_boosting,6.938451644960261,12.240844492879651,0.9540815822439701,18.933323645941197,24.09598236679294,0.909276505600669,
5,image_only,hist_gradient_boosting,7.0026394873959275,13.130202636646263,0.9464064435565815,15.849486393143783,21.45114339974927,0.9273999291953364,
8,numeric_only,hist_gradient_boosting,7.344785723176813,9.31130078154358,0.972449175944157,21.664230709443217,28.012146742211847,0.8743502493355723,
5,numeric_only,hist_gradient_boosting,7.505230645811627,9.244948605234923,0.9734307850222069,22.242804359415516,28.617586188536436,0.8707882076048388,
3,early_fusion,ridge,8.198993751442154,11.06703985524832,0.9624658053982312,16.24290096012755,20.230245101694926,0.9360511431734906,
3,image_only,ridge,8.353043351492222,11.186103693470075,0.9616538439649447,16.492970007164573,20.451604608947708,0.9346440289058421,
5,early_fusion,ridge,8.602124390286637,11.25065596021928,0.9606517511606749,16.16541270253058,20.147490607307063,0.9359560549884536,
5,image_only,ridge,8.74979367154787,11.321944403249438,0.9601515203441012,16.383821733773665,20.31887332422344,0.934861853355926,
3,numeric_only,hist_gradient_boosting,9.307037200539295,11.80360370076103,0.9573033901325626,24.97842736591058,32.11293200573645,0.8388648025121441,
8,image_only,ridge,9.310033610598362,11.641565201122525,0.9569337922222783,16.124101862535856,19.93652675230163,0.9363544790961376,
8,early_fusion,ridge,9.454568691989811,11.755082574111666,0.9560898167003637,15.957629549355577,19.758930435096037,0.9374833482586272,
10,image_only,ridge,9.713188415236726,11.924176315687424,0.9541332854860269,16.02763946958434,19.70348177614793,0.9372044546972051,
10,early_fusion,ridge,10.000798735704755,12.149243743327988,0.9523854872554798,15.726089679486888,19.38078903422894,0.9392444731418472,
10,numeric_only,ridge,45.3565285686584,53.430479182990325,0.07908617595488376,58.48407848192419,75.07808836973685,0.08826359697898911,
8,numeric_only,ridge,47.4227303891622,55.00025719368253,0.038734573735406896,60.71411241698126,77.9134619302396,0.02793826126368737,
5,numeric_only,ridge,49.57270939747745,56.401709879281825,0.01109570967310114,63.27952284816268,79.73530483252266,-0.0030843849961690317,
3,numeric_only,ridge,51.3909526315048,57.403174140537196,-0.009801400435966334,65.18792090673651,81.20820167855132,-0.030457970558651626,
